0:0 (Kein Pokémon)
1:0 Bisasam
491:0 Darkrai
492:0 Shaymin
493:0 Arceus
479:1 Rotom-C
479:2 Rotom-H
479:3 Rotom-F
479:4 Rotom-W
479:5 Rotom-S
386:1 Deoxys-A
386:2 Deoxys-D
386:3 Deoxys-S
413:1 Burmadame-G
413:2 Burmadame-S
487:1 Shaymin-S
492:1 Giratina-O
201:1 Unown-B
201:2 Unown-C
201:3 Unown-D
201:4 Unown-E
201:5 Unown-F
201:6 Unown-G
201:7 Unown-H
201:8 Unown-I
201:9 Unown-J
201:10 Unown-K
201:11 Unown-L
201:12 Unown-M
201:13 Unown-N
201:14 Unown-O
201:15 Unown-P
201:16 Unown-Q
201:17 Unown-R
201:18 Unown-S
201:19 Unown-T
201:20 Unown-U
201:21 Unown-V
201:22 Unown-W
201:23 Unown-X
201:24 Unown-Y
201:25 Unown-Z
201:26 Unown-!
201:27 Unown-?
493:1 Arceus-Fighting
493:2 Arceus-Flying
493:3 Arceus-Poison
493:4 Arceus-Ground
493:5 Arceus-Rock
493:6 Arceus-Bug
493:7 Arceus-Ghost
493:8 Arceus-Steel
493:9 Arceus-Fire
493:10 Arceus-Water
493:11 Arceus-Grass
493:12 Arceus-Electric
493:13 Arceus-Psychic
493:14 Arceus-Ice
493:15 Arceus-Dragon
493:16 Arceus-Dark
493:17 Arceus-???
412:1 Burmy-G
412:2 Burmy-S
351:1 Castform-Snowy
351:2 Castform-Rainy
351:4 Castform-Sunny
421:1 Cherrim-Sunshine
422:1 Shellos-East
423:1 Gastrodon-East
494:0 Victini
495:0 Serpifeu
496:0 Efoserp
497:0 Serpiroyal
498:0 Floink
499:0 Ferkokel
500:0 Flambirex
501:0 Ottaro
502:0 Zwottronin
503:0 Admurai
504:0 Nagelotz
505:0 Kukmarda
506:0 Yorkleff
507:0 Terribark
508:0 Bissbark
509:0 Felilou
510:0 Kleoparda
511:0 Vegimak
512:0 Vegichita
513:0 Grillmak
514:0 Grillchita
515:0 Sodamak
516:0 Sodachita
517:0 Somniam
518:0 Somnivora
519:0 Dusselgurr
520:0 Navitaub
521:0 Fasasnob
522:0 Elezeba
523:0 Zebritz
524:0 Kiesling
525:0 Sedimantur
526:0 Brockoloss
527:0 Fleknoil
528:0 Fletiamo
529:0 Rotomurf
530:0 Stalobor
531:0 Ohrdoch
532:0 Praktibalk
533:0 Strepoli
534:0 Meistagrif
535:0 Schallquap
536:0 Mebrana
537:0 Branawarz
538:0 Jiutesto
539:0 Karadonis
540:0 Strawickl
541:0 Folikon
542:0 Matrifol
543:0 Toxiped
544:0 Rollum
545:0 Cerapendra
546:0 Waumboll
547:0 Elfun
548:0 Lilminip
549:0 Dressella
550:0 Barschuft
550:1 Barschuft-A
551:0 Ganovil
552:0 Rokkaiman
553:0 Rabigator
554:0 Flampion
555:0:H Flampivian
555:1 Flampivian-D
556:0 Maracamba
557:0 Lithomith
558:0 Castellith
559:0 Zurrokex
560:0 Irokex
561:0 Symvolara
562:0 Makabaja
563:0 Echnatoll
564:0 Galapaflos
565:0 Karippas
566:0 Flapteryx
567:0 Aeropteryx
568:0 Unratütox
569:0 Deponitox
570:0 Zorua
571:0 Zoroark
572:0 Picochilla
573:0 Chillabell
574:0 Mollimorba
575:0 Hypnomorba
576:0 Morbitesse
577:0 Monozyto
578:0 Mitodos
579:0 Zytomega
580:0 Piccolente
581:0 Swaroness
582:0 Gelatini
583:0 Gelatroppo
584:0 Gelatwino
585:0 Sesokitz
585:1 Sesokitz-Sommer
585:2 Sesokitz-Herbst
585:3 Sesokitz-Winter
586:0 Kronjuwild
586:1 Kronjuwild-Sommer
586:2 Kronjuwild-Herbst
586:3 Kronjuwild-Winter
587:0 Emolga
588:0 Laukabs
589:0 Cavalanzas
590:0 Tarnpignon
591:0 Hutsassa
592:0 Quabbel
593:0 Appoquallyp
594:0 Mamolida
595:0 Wattzapf
596:0 Voltula
597:0 Kastadur
598:0 Tentantel
599:0 Klikk
600:0 Kliklak
601:0 Klikdiklak
602:0 Zapplardin
603:0 Zapplalek
604:0 Zapplarang
605:0 Pygraulon
606:0 Megalon
607:0 Lichtel
608:0 Laternecto
609:0 Skelabra
610:0 Milza
611:0 Sharfax
612:0 Maxax
613:0 Petznief
614:0 Siberio
615:0 Frigometri
616:0 Schnuthelm
617:0 Hydragil
618:0 Flunschlik
619:0 Lin-Fu
620:0 Wie-Shu
621:0 Shardrago
622:0 Golbit
623:0 Golgantes
624:0 Gladiantri
625:0 Caesurio
626:0 Bisofank
627:0 Geronimatz
628:0 Washakwil
629:0 Skallyk
630:0 Grypheldis
631:0 Furnifraß
632:0 Fermicula
633:0 Kapuno
634:0 Duodino
635:0 Trikephalo
636:0 Ignivor
637:0 Ramoth
638:0 Kobalium
639:0 Terrakium
640:0 Virdium
641:0 Boreos
642:0 Voltolos
643:0 Reshiram
644:0 Zekrom
645:0 Demeteros
646:0 Kyurem
647:0 Keldeo
648:0:H Meloetta
648:1 Meloetta-S
649:0 Genesect
647:1 Keldeo-R
645:1 Demeteros-T
641:1 Boreos-T
642:1 Voltolos-T
646:1 Kyurem-W
646:2 Kyurem-S
