0:0 Missingno
493:10 Arceus-Water
493:11 Arceus-Grass
493:12 Arceus-Electric
493:13 Arceus-Psychic
493:14 Arceus-Ice
493:15 Arceus-Dragon
493:16 Arceus-Dark
493:17 Arceus-Fairy
493:18 Arceus-???
412:1 Burmy-G
412:2 Burmy-S
351:1 Castform-Snowy
351:2 Castform-Rainy
351:4 Castform-Sunny
421:1 Cherrim-Sunshine
422:1 Shellos-East
423:1 Gastrodon-East
494:0 Victini
495:0 Snivy
496:0 Servine
497:0 Serperior
498:0 Tepig
499:0 Pignite
500:0 Emboar
501:0 Oshawott
502:0 Dewott
503:0 Samurott
504:0 Patrat
505:0 Watchog
506:0 Lillipup
507:0 Herdier
508:0 Stoutland
509:0 Purrloin
510:0 Liepard
511:0 Pansage
512:0 Simisage
513:0 Pansear
514:0 Simisear
515:0 Panpour
516:0 Simipour
517:0 Munna
518:0 Musharna
519:0 Pidove
520:0 Tranquill
521:0 Unfezant
522:0 Blitzle
523:0 Zebstrika
524:0 Roggenrola
525:0 Boldore
526:0 Gigalith
527:0 Woobat
528:0 Swoobat
529:0 Drilbur
530:0 Excadrill
531:0 Audino
532:0 Timburr
533:0 Gurdurr
534:0 Conkeldurr
535:0 Tympole
536:0 Palpitoad
537:0 Seismitoad
538:0 Throh
539:0 Sawk
540:0 Sewaddle
541:0 Swadloon
542:0 Leavanny
543:0 Venipede
544:0 Whirlipede
545:0 Scolipede
546:0 Cottonee
547:0 Whimsicott
548:0 Petilil
549:0 Lilligant
550:0 Basculin
550:1 Basculin-A
551:0 Sandile
552:0 Krokorok
553:0 Krookodile
554:0 Darumaka
555:0 Darmanitan
555:1 Darmanitan-D
556:0 Maractus
557:0 Dwebble
558:0 Crustle
559:0 Scraggy
560:0 Scrafty
561:0 Sigilyph
562:0 Yamask
563:0 Cofagrigus
564:0 Tirtouga
565:0 Carracosta
566:0 Archen
567:0 Archeops
568:0 Trubbish
569:0 Garbodor
570:0 Zorua
571:0 Zoroark
572:0 Minccino
573:0 Cinccino
574:0 Gothita
575:0 Gothorita
576:0 Gothitelle
577:0 Solosis
578:0 Duosion
579:0 Reuniclus
580:0 Ducklett
581:0 Swanna
582:0 Vanillite
583:0 Vanillish
584:0 Vanilluxe
585:0 Deerling
585:1 Deerling-Summer
585:2 Deerling-Autumn
585:3 Deerling-Winter
586:0 Sawsbuck
586:1 Sawsbuck-Summer
586:2 Sawsbuck-Autumn
586:3 Sawsbuck-Winter
587:0 Emolga
588:0 Karrablast
589:0 Escavalier
590:0 Foongus
591:0 Amoonguss
592:0 Frillish
593:0 Jellicent
594:0 Alomomola
595:0 Joltik
596:0 Galvantula
597:0 Ferroseed
598:0 Ferrothorn
599:0 Klink
600:0 Klang
601:0 Klinklang
602:0 Tynamo
603:0 Eelektrik
604:0 Eelektross
605:0 Elgyem
606:0 Beheeyem
607:0 Litwick
608:0 Lampent
609:0 Chandelure
610:0 Axew
611:0 Fraxure
612:0 Haxorus
613:0 Cubchoo
614:0 Beartic
615:0 Cryogonal
616:0 Shelmet
617:0 Accelgor
618:0 Stunfisk
619:0 Mienfoo
620:0 Mienshao
621:0 Druddigon
622:0 Golett
623:0 Golurk
624:0 Pawniard
625:0 Bisharp
626:0 Bouffalant
627:0 Rufflet
628:0 Braviary
629:0 Vullaby
630:0 Mandibuzz
631:0 Heatmor
632:0 Durant
633:0 Deino
634:0 Zweilous
635:0 Hydreigon
636:0 Larvesta
637:0 Volcarona
638:0 Cobalion
639:0 Terrakion
640:0 Virizion
641:0 Tornadus
641:1 Tornadus-T
642:0 Thundurus
642:1 Thundurus-T
643:0 Reshiram
644:0 Zekrom
645:0 Landorus
645:1 Landorus-T
646:0 Kyurem
646:1 Kyurem-W
646:2 Kyurem-B
647:0 Keldeo
647:1 Keldeo-R
648:0 Meloetta
648:1 Meloetta-S
649:0 Genesect
649:1 Genesect-D
649:2 Genesect-S
649:3 Genesect-B
649:4 Genesect-C
650:0 Chespin
651:0 Quilladin
652:0 Chesnaught
653:0 Fennekin
654:0 Braixen
655:0 Delphox
656:0 Froakie
657:0 Frogadier
658:0 Greninja
659:0 Bunnelby
660:0 Diggersby
661:0 Fletchling
662:0 Fletchinder
663:0 Talonflame
664:0 Scatterbug
665:0 Spewpa
666:0 Vivillon
667:0 Litleo
668:0 Pyroar
669:0 Flabébé
670:0 Floette
670:1 Floette-EF
671:0 Florges
672:0 Skiddo
673:0 Gogoat
674:0 Pancham
675:0 Pangoro
676:0 Furfrou
677:0 Espurr
678:0 Meowstic
678:1 Meowstic-F
679:0 Honedge
680:0 Doublade
681:0 Aegislash
681:1 Aegislash-B
682:0 Spritzee
683:0 Aromatisse
684:0 Swirlix
685:0 Slurpuff
686:0 Inkay
687:0 Malamar
688:0 Binacle
689:0 Barbaracle
690:0 Skrelp
691:0 Dragalge
692:0 Clauncher
693:0 Clawitzer
694:0 Helioptile
695:0 Heliolisk
696:0 Tyrunt
697:0 Tyrantrum
698:0 Amaura
699:0 Aurorus
700:0 Sylveon
701:0 Hawlucha
702:0 Dedenne
703:0 Carbink
704:0 Goomy
705:0 Sliggoo
706:0 Goodra
707:0 Klefki
708:0 Phantump
709:0 Trevenant
710:0 Pumpkaboo
710:1 Pumpkaboo-S
710:2 Pumpkaboo-L
710:3 Pumpkaboo-XL
711:0 Gourgeist
711:1 Gourgeist-S
711:2 Gourgeist-L
711:3 Gourgeist-XL
712:0 Bergmite
713:0 Avalugg
714:0 Noibat
715:0 Noivern
716:0 Xerneas
716:1 Xerneas-A
717:0 Yveltal
718:0 Zygarde
719:0 Diancie
